"name","birthDate","birthPlace","height","weight","startYear","endYear","leagues","positions","teams","awards"
"Samir Gouda",1972-05-03,"Dakahlia Governorate",0.0,,1994-01-01,2010-01-01,"Basketball Africa League, Egyptian Basketball Super League","Center (basketball), Coach (sport)","Zamalek SC (basketball)","Basketball Africa League"
"Sam Jones (basketball, born 1978)",1978-04-29,"Chicago",,,2000-01-01,2010-01-01,"Mountain West Conference","Point guard","Colorado State Rams men's basketball","Dutch Basketball League"
"Ergin Ataman",1966-01-07,"Istanbul",,,1984-01-01,1996-01-01,"Basketbol Süper Ligi","Head coach","Anadolu Efes S.K.","FIBA EuroChallenge, FIBA Korać Cup, FIBA Saporta Cup"
"Željko Pavličević",1951-03-26,"Socialist Republic of Croatia",,,1969-01-01,1975-01-01,"ASEAN Basketball League","Coach (basketball)","Eastern Sports Club (basketball)","1986 FIBA European Champions Cup Final, 1991 FIBA European Champions Cup Final Four, EuroLeague, First Federal Basketball League, Yugoslav Basketball Cup"
"Željko Pavličević",1951-03-26,"Socialist Republic of Croatia",,,1969-01-01,1975-01-01,"Hong Kong A1 Division Championship","Coach (basketball)","Eastern Sports Club (basketball)","1986 FIBA European Champions Cup Final, 1991 FIBA European Champions Cup Final Four, First Federal Basketball League, Krešimir Ćosić Cup, Yugoslav Basketball Cup"
"Žarko Đurišić",1961-03-31,"Socialist Republic of Montenegro",,,1978-01-01,1995-01-01,"National Basketball Association","Center (basketball)","Minnesota Timberwolves","FIBA Saporta Cup, Premier A Slovenian Basketball League, Slovenian Basketball Cup"
"Dražen Zlovarić",1989-03-23,"Socialist Federal Republic of Yugoslavia",1.9812,99000.0,2013-01-01,2015-01-01,"Pac-12 Conference","Power forward (basketball)","Arizona State Sun Devils men's basketball","Austrian Basketball Bundesliga, Basketball Championship of Bosnia and Herzegovina"
"Moses Kingsley",1994-11-16,"Enugu",2.0828,103874.0,2017-01-01,,"Greek Basket League","Center (basketball), Power forward (basketball)","Ionikos Nikaias B.C.","Belgian Basketball Cup, Southeastern Conference"
"Sam Timmins",1997-05-23,"Dunedin",2.1082,120204.0,2013-01-01,,"National Basketball League (Australia)","Center (basketball), Power forward (basketball)","New Zealand Breakers","National Basketball League (New Zealand), New Zealand NBL All-Star Five, New Zealand NBL Most Improved Player Award, New Zealand NBL Most Outstanding Forward Award, New Zealand NBL Most Outstanding Kiwi Forward/Centre Award, New Zealand NBL Rebounding Champion"
"Eulis Báez",1982-03-18,"Santo Domingo",2.0066,111132.0,2005-01-01,,"Liga ACB","Power forward (basketball)","Real Betis Baloncesto","Summit League"
"Asbjørn Midtgaard",1997-09-20,"Denmark men's national under-18 basketball team",2.1336,122472.0,2014-01-01,,"BNXT League, FIBA Europe Cup","Center (basketball)","ZZ Leiden","Basketligaen, Dutch Basketball Supercup, Western Athletic Conference"
"Emircan Koşut",1995-07-03,"Gaziosmanpaşa",2.159,99792.0,2011-01-01,,"Basketbol Süper Ligi","Center (basketball), Power forward (basketball)","Merkezefendi Belediyesi Denizli Basket","EuroCup Basketball"
"Samuel Deguara",1991-06-21,"Pietà, Malta",2.2606,130637.0,2007-01-01,,"ASEAN Basketball League, P. League+","Center (basketball)","Taipei Fubon Braves","FIBA European Championship for Small Countries, FIBA U18 European Championship, Malaysia Pro League, Thailand Basketball League"
"Sasha Vezenkov",1995-08-06,"Cyprus",2.0574,102060.0,2011-01-01,,"EuroLeague, Greek Basket League","Power forward (basketball), Small forward","Olympiacos B.C.","ACB Best Young Player Award, Greek Basket League Best Young Player, Greek Basket League MVP, Greek Basket League Most Improved Player, Greek Basket League Pentad, Greek Basket League individual statistics, Greek Basketball Cup, Supercopa de España de Baloncesto"
"Scott Eatherton",1991-12-26,"Orlando, Florida",2.0574,105689.0,2015-01-01,,"B.League","Center (basketball)","Nagoya Diamond Dolphins","Colonial Athletic Association"
"Dušan Ristić",1995-11-27,"Serbia and Montenegro",2.032,112000.0,2012-01-01,,"Liga ACB","Center (basketball)","Baloncesto Fuenlabrada","ABA League, ABA League Supercup, Basketball League of Serbia"
"Alen Omić",1992-05-06,"Tuzla",,111000.0,2009-01-01,,"ABA League, EuroCup Basketball","Center (basketball)","KK Cedevita Olimpija","Basketball League of Serbia, EuroCup Basketball, EuroCup Basketball All-EuroCup Team, Premier A Slovenian Basketball League, Slovenian Basketball Cup"
"Erikas Venskus",2000-05-28,"Biržai",,100000.0,2014-01-01,,"Lietuvos krepšinio lyga","Center (basketball)","BC Prienai","2019–20 LKL season"
"Dušan Ristić",1995-11-27,"Novi Sad",2.032,112000.0,2012-01-01,,"Liga ACB","Center (basketball)","Baloncesto Fuenlabrada","ABA League, ABA League Supercup, Basketball League of Serbia"
"Dragan Apić",1995-10-03,"Republic of Serbia (1992–2006)",,105000.0,2012-01-01,,"Polish Basketball League","Center (basketball), Power forward (basketball)","Zastal Zielona Góra","ABA League Top Scorer, Montenegrin Basketball Cup, Prva A Liga"
"Predrag Samardžiski",1986-04-11,"Skopje",,124740.0,2004-01-01,,"Macedonian First League (basketball)","Center (basketball)","KK EuroNickel 2005","Basketball League of Serbia, Basketbol Süper Ligi, Radivoj Korać Cup"
"Mouhammadou Jaiteh",1994-11-27,"Pantin",,112000.0,2010-01-01,,"Lega Basket","Center (basketball), Power forward (basketball)","Virtus Bologna","2014–15 EuroChallenge, FIBA EuroChallenge, Italian Basketball Supercup"
"Moustapha Fall",1992-02-23,"Paris",,124000.0,2011-01-01,,"Greek Basket League","Center (basketball)","Olympiacos B.C.","French Basketball Cup, LNB Pro A"
"Aleksander Dziewa",1997-11-06,"Konin",2.0574,,2016-01-01,,"Polish Basketball League","Center (basketball)","Śląsk Wrocław (basketball)","2020–21 PLK season"
"Sedona Prince",2000-05-12,"Hemet, California",2.0066,88452.0,,,"Pac-12 Conference","Center (basketball), Power forward (basketball)","Oregon Ducks women's basketball","McDonald's All-American Game"
"Domagoj Bošnjak",1995-04-09,"Mostar",1.9812,90720.0,2011-01-01,,"ABA League Second Division, Basketball Championship of Bosnia and Herzegovina","Shooting guard, Small forward","HKK Široki","Basketball Championship of Bosnia and Herzegovina, FIBA Stanković Continental Champions' Cup, Krešimir Ćosić Cup, Mirza Delibašić Cup"
"Axel Toupane",1992-07-23,"Mulhouse",2.0066,95256.0,2011-01-01,,"LNB Pro A","Shooting guard, Small forward","Paris Basketball","All-NBA G League Team, French Basketball Cup, Karaliaus Mindaugo taurė, LNB Pro A Leaders Cup, Lietuvos krepšinio lyga, List of NBA G League champions, List of NBA champions, NBA G League Most Improved Player Award"
"Quincy Diggs",1990-04-08,"Wichita, Kansas",1.9812,94802.4,2015-01-01,,"Nemzeti Bajnokság I/A (men's basketball)","Small forward","Kaposvári KK","Austrian Basketball Bundesliga, Mid-American Conference, ÖBL Most Valuable Player"
"Aaron Harrison",1994-10-28,"San Antonio",1.9812,89812.8,2015-01-01,,"Basketbol Süper Ligi, EuroCup Basketball","Shooting guard, Small forward","Türk Telekom B.K.","Basketbol Süper Ligi, McDonald's All-American Game, Parade All-America Boys Basketball Team, Texas Mr. Basketball"
"Akwasi Yeboah",1997-06-15,"Sekondi-Takoradi",1.9812,104328.0,2014-01-01,,"LNB Pro B","Small forward","Saint-Chamond Basket","America East Conference"
"Quenton DeCosey",1994-08-08,"Union Township, Union County, New Jersey",1.9558,92988.0,2016-01-01,,"Nemzeti Bajnokság I/A (men's basketball)","Shooting guard, Small forward","ZTE KK","American Athletic Conference"
"Mouloukou Diabate",1987-07-21,"Cocody",1.8288,75751.2,2006-01-01,,"Basketball Africa League","Point guard","US Monastir (basketball)","Basketball Africa League, LNB Pro A"
"Sava Lešić",1988-02-23,"Knin",2.0574,101153.0,2007-01-01,,"ABA League, Basketball League of Serbia","Power forward (basketball)","KK Borac Čačak","ABA League, Basketball League of Serbia, Mirza Delibašić Cup, Radivoj Korać Cup"
"Semyon Antonov",1989-07-18,"Russian Soviet Federative Socialist Republic",2.032,103874.0,2006-01-01,,"EuroLeague, VTB United League","Power forward (basketball), Small forward","PBC CSKA Moscow","EuroLeague, VTB United League"
"Alba Torrens",1989-08-30,"Binissalem",1.905,79833.6,2006-01-01,,"Russian Women's Basketball Premier League","Small forward","UMMC Ekaterinburg","2013–14 EuroLeague Women, EuroLeague Women, FIBA Europe SuperCup Women, FIBA Europe Women's Player of the Year Award, FIBA Europe Young Women's Player of the Year Award, Liga Femenina de Baloncesto, Russian Women's Basketball Premier League, Turkish Women's Basketball Cup, Women's Basketball Super League"
"Quinnel Brown",1983-08-26,"Chicago",1.9812,95256.0,2005-01-01,,"National Basketball League of Canada","Basketball positions","Windsor Express","All-NBL Canada Team, NBL Canada Most Valuable Player Award, Swedish Basketball League"
"Alex Murphy (basketball)",1993-06-03,"Wakefield, Rhode Island",2.0574,99792.0,2017-01-01,,"Liga Española de Baloncesto","Basketball positions","Fundación CB Granada","Copa Princesa de Asturias, Liga Española de Baloncesto"
"Austin Price",1995-09-16,"Indianapolis",1.9304,83916.0,2017-01-01,,"BNXT League","Point guard","Heroes Den Bosch","FIBA Europe Cup"
"Erjon Kastrati",1994-12-30,"Pristina",,91000.0,2011-01-01,,"Kosovo Basketball Superleague","Small forward","KB Ylli","2013–14 Slovenian Basketball League, 2017–18 Slovenian Basketball League, Kosovo Basketball Superleague, Liga Unike, Premier A Slovenian Basketball League, Slovenian Basketball Cup"
"Đorđe Kaplanović",1995-03-21,"Serbia and Montenegro",,102000.0,2013-01-01,,"Macedonian First League (basketball)","Power forward (basketball)","KK Kumanovo","ABA League, Basketball League of Serbia, Radivoj Korać Cup"
"Dwayne Evans (basketball)",1992-01-24,"Bolingbrook, Illinois",,104000.0,2015-01-01,,"B.League","Small forward","Ryukyu Golden Kings","Atlantic 10 Conference"
"Drew Crawford",1990-10-18,"Naperville, Illinois",,95000.0,2014-01-01,,"EuroCup Basketball","Small forward","BC Andorra","Academic All-America, LBA Most Valuable Player"
"Aleksa Popović",1987-07-31,"Podgorica",,95000.0,2004-01-01,,"Basketball Championship of Bosnia and Herzegovina","Small forward","KK Bosna Royal","Prva A Liga"
"Dušan Katnić",1989-03-03,"Užice",,86000.0,2005-01-01,,"Second Basketball League of Serbia","Point guard","KK Klik","2012–13 Basketball League Belgium Division I, 2015–16 Basketball Championship of Bosnia and Herzegovina, Basketball Championship of Bosnia and Herzegovina, Belgian Basketball Cup, Pro Basketball League"
"Sead Šehović",1989-08-22,"Bijelo Polje",,95000.0,2006-01-01,,"ABA League, Prva A Liga","Small forward","KK Mornar Bar","2018–19 Prva A liga, ABA League, Prva A Liga"
"Augustas Pečiukevičius",1991-12-02,"Lithuania",,94000.0,2007-01-01,,"Liga Española de Baloncesto","Point guard","Básquet Coruña","Estonian Basketball Cup"
"Aleksa Uskoković",1999-08-30,"Republic of Serbia (1992–2006)",,86000.0,2017-01-01,,"Basketball League of Serbia","Point guard","KK Mega Basket","Basketball League of Serbia, Radivoj Korać Cup"
"Dušan Đorđević",1983-03-29,"Socialist Federal Republic of Yugoslavia",,96000.0,2001-01-01,,"Pro Basketball League","Point guard","B.C. Oostende","2014–15 Basketball League Belgium Division I, 2016–17 Belgian Basketball Cup, 2017–18 Belgian Basketball Cup, BNXT Supercup, Belgian Basketball Cup MVP, Pro Basketball League, Pro Basketball League MVP, Pro Basketball League Star of the Coaches"
"Sead Šehović",1989-08-22,"Socialist Federal Republic of Yugoslavia",,95000.0,2006-01-01,,"Prva A Liga","Small forward","KK Mornar Bar","Prva A Liga"
"Sead Šehović",1989-08-22,"Socialist Republic of Montenegro",,95000.0,2006-01-01,,"ABA League","Small forward","KK Mornar Bar","2015–16 Prva A liga, 2016–17 Prva A liga, ABA League, Montenegrin Basketball Cup"
"Alberto Díaz",1994-04-23,"Spain men's national basketball team",,86000.0,2011-01-01,,"Basketball Champions League, Liga ACB","Point guard, Shooting guard","Baloncesto Málaga","EuroCup Basketball, EuroCup Basketball Finals MVP"
"Satou Sabally",1998-04-25,"New York City",1.9304,,2020-01-01,,"Women's National Basketball Association","Small forward","Dallas Wings","Associated Press, WNBA All-Star Game, Women's Basketball Super League"
"Selçuk Ernak",1970-08-25,"Turkey",,,,,"EuroLeague","Coach (basketball)","Darüşşafaka Basketbol","Turkish Basketball First League"
"Aleš Pipan",1959-05-24,"Ljubljana",,,,,"Premier A Slovenian Basketball League","Head coach","KK Šentjur","Polish Basketball Cup, Polish Basketball Supercup, Slovenian Basketball Cup"
"Aleksandar Džikić",1971-03-23,"Belgrade",,,,,"Prva A Liga","Coach (basketball)","KK Budućnost","2010–11 FIBA EuroChallenge, 2013–14 Slovenian Basketball League, ABA League, Montenegrin Basketball Cup, Premier A Slovenian Basketball League"
"Željko Zečević",1963-10-21,"Belgrade",,,,,"Basketball Africa League","Head coach","SLAC (basketball club)","Division Excellence"
"Ettore Messina",1959-09-30,"Italy men's national basketball team",,,,,"EuroLeague","Head coach","Olimpia Milano","2008 Euroleague Final Four, 50 Greatest EuroLeague Contributors (2008), Alexander Gomelsky EuroLeague Coach of the Year, FIBA Saporta Cup, Italian Basketball Cup, Italian Basketball Supercup, Lega Basket Serie A awards, Russian Basketball Cup, VTB United League, VTB United League Hall of Fame"
"Aleksandar Džikić",1971-03-23,"Socialist Federal Republic of Yugoslavia",,,,,"ABA League","Coach (basketball)","KK Budućnost","2010–11 FIBA EuroChallenge, Premier A Slovenian Basketball League"
"Dragan Nikolić (coach)",1972-02-20,"Socialist Federal Republic of Yugoslavia",,,,,"Basketball Championship of Bosnia and Herzegovina","Coach (basketball)","OKK Borac","Second Basketball League of Serbia"
"Aleksandar Džikić",1971-03-23,"Socialist Republic of Serbia",,,,,"ABA League","Coach (basketball)","KK Budućnost","2010–11 FIBA EuroChallenge, Premier A Slovenian Basketball League"
"Scottie Lewis",2000-03-12,"The Bronx",1.9558,83916.0,2021-01-01,,"National Basketball Association","Shooting guard","Charlotte Hornets","McDonald's All-American Game, Southeastern Conference"
"Wayne Ellington",1987-11-29,"Wynnewood, Pennsylvania",1.9304,93895.2,2009-01-01,,"National Basketball Association","Shooting guard","Los Angeles Lakers","J. Walter Kennedy Citizenship Award, List of All-Atlantic Coast Conference men's basketball teams, List of NCAA Division I men's basketball champions, McDonald's All-American Game, NCAA Basketball Tournament Most Outstanding Player, North Carolina Tar Heels men's basketball, Parade All-America Boys Basketball Team"
"Quino Colom",1988-11-01,"Andorra men's national basketball team",1.8796,88452.0,2006-01-01,,"Greek Basket League","Point guard","AEK B.C.","EuroCup Basketball All-EuroCup Team, List of VTB United League season assists leaders, VTB United League Sixth Man of the Year"
"Queralt Casas",1992-11-18,"Spain",1.8034,64411.2,2012-01-01,,"Liga Femenina de Baloncesto","Shooting guard","Valencia Basket (women)","Copa de la Reina de Baloncesto, EuroCup Women, Liga Femenina de Baloncesto, Women's Basketball Super League"
"Sek Henry",1987-06-27,"Los Angeles",,90000.0,2010-01-01,,"LNB Pro A","Point guard","JDA Dijon Basket","Israeli Basketball Premier League"
"Sek Henry",1987-06-27,"Los Angeles",,90000.0,2010-01-01,,"LNB Pro A","Point guard, Shooting guard","JDA Dijon Basket","Israeli Basketball Premier League, Israeli Basketball Premier League MVP, Israeli Basketball Premier League Quintet"
"Sek Henry",1987-06-27,"Los Angeles",,90000.0,2010-01-01,,"Basketball Champions League","Shooting guard","JDA Dijon Basket","Israeli Basketball Premier League, Israeli Basketball Premier League MVP, Israeli Basketball Premier League Quintet"
"A. J. Slaughter",1987-08-03,"Louisville, Kentucky",,80000.0,2010-01-01,,"EuroCup Basketball","Shooting guard","CB Gran Canaria","Greek Basketball Cup, LNB Pro A"
"Dragan Milosavljević",1989-05-11,"Kruševac",,91000.0,2006-01-01,,"Liga ACB","Shooting guard","Baloncesto Fuenlabrada","ABA League, BLS Playoff MVP"
"Łukasz Koszarek",1984-01-12,"Września",,91000.0,2003-01-01,,"FIBA Europe Cup, Polish Basketball League","Point guard","Legia Warsaw (basketball)","Polish Basketball Cup, Polish Basketball League"
"Abdoulaye N'Doye",1998-03-09,"France men's national under-17 basketball team",,93000.0,2016-01-01,,"LNB Pro A","Point guard","BCM Gravelines-Dunkerque","EuroCup Basketball"
"Dragan Milosavljević",1989-05-11,"Socialist Federal Republic of Yugoslavia",,91000.0,2006-01-01,,"Liga ACB","Shooting guard","Baloncesto Fuenlabrada","ABA League, BLS Playoff MVP"
"Dragan Milosavljević",1989-05-11,"Socialist Federal Republic of Yugoslavia",1.9304,91000.0,2006-01-01,,"Liga ACB","Shooting guard","Baloncesto Fuenlabrada","BBL-Pokal, Basketball League of Serbia, Radivoj Korać Cup"
"Dušan Đorđević",1983-03-29,"Socialist Federal Republic of Yugoslavia",1.8288,96000.0,2001-01-01,,"Pro Basketball League","Point guard","B.C. Oostende","Belgian Basketball Cup"
"Dušan Đorđević",1983-03-29,"Socialist Republic of Serbia",1.905,96000.0,2001-01-01,,"Pro Basketball League","Shooting guard","B.C. Oostende","2014–15 Basketball League Belgium Division I, 2016–17 Belgian Basketball Cup, 2017–18 Belgian Basketball Cup, All-Pro Basketball League Teams, BNXT Supercup, Belgian Basketball Cup, Belgian Basketball Cup MVP, Belgian Basketball Supercup, Pro Basketball League, Pro Basketball League MVP, Pro Basketball League Star of the Coaches, Slovenian Basketball Cup"
"Đukan Đukanović",1992-10-31,"Socialist Republic of Serbia",1.98755,80000.0,2008-01-01,,"Macedonian First League (basketball)","Point guard","KK Kumanovo","BLS First League MVP"
"R. J. Davis",2001-10-21,"White Plains, New York",1.8288,79380.0,,,"Atlantic Coast Conference","Point guard","North Carolina Tar Heels men's basketball","Jordan Brand Classic, McDonald's All-American Game, Mr. New York Basketball"
"Alina Iagupova",1992-02-09,"Dnipro",1.8542,83916.0,,,"Women's Basketball Super League","Shooting guard","Fenerbahçe S.K. (women's basketball)","Ligue Féminine de Basketball, Turkish Women's Basketball Cup"
"Sam Cassell",1969-11-18,"Baltimore",1.905,83916.0,1993-01-01,2008-01-01,"National Basketball Association","Coach (sport), Point guard","Philadelphia 76ers","All-NBA Team, List of All-Atlantic Coast Conference men's basketball teams, List of NBA All-Stars, List of NBA champions"
"Dražen Zlovarić",1989-03-23,"Socialist Republic of Croatia",2.0574,99000.0,2013-01-01,2015-01-01,"Pac-12 Conference","Power forward (basketball)","Arizona State Sun Devils men's basketball","Mirza Delibašić Cup"
"Sam Mackinnon",1976-08-25,"Melbourne",2.0574,104000.0,1994-01-01,2010-01-01,"National Basketball League (Australia)","Shooting guard, Small forward","Brisbane Bullets","All-NBL Team, Australian International Player of the Year, NBL Best Defensive Player Award, NBL Grand Final Most Valuable Player Award"
"Dustin Ware",1990-04-12,"Atlanta",1.8034,78019.2,2012-01-01,,"LNB Pro A","Point guard","Champagne Basket","HT Premijer liga"
"Selom Mawugbe",1998-07-20,"Lancaster, California",2.0828,104328.0,2021-01-01,,"NBA G League","Center (basketball)","Santa Cruz Warriors","Pacific West Conference"
"Alen Omić",1992-05-06,"Tuzla",2.1336,111000.0,2009-01-01,,"ABA League","Center (basketball)","KK Cedevita Olimpija","BLS Playoff MVP"
"Domien Loubry",1985-03-03,"Antwerp",2.0066,83000.0,2005-01-01,,"BNXT League","Point guard","Kangoeroes Basket Mechelen","List of Pro Basketball League season assists leaders"
"Mouhammadou Jaiteh",1994-11-27,"Pantin",1.905,112000.0,2010-01-01,,"EuroCup Basketball","Power forward (basketball)","Virtus Bologna","LNB All-Star Game"
"Aistis Pilauskas",1998-04-08,"Vilnius",,80000.0,2015-01-01,,"National Basketball League (Lithuania)","Point guard","BC Telšiai","Karaliaus Mindaugo taurė"
"Aleksandar Kostoski",1988-03-05,"Socialist Federal Republic of Yugoslavia",,,2006-01-01,,"Macedonian First League (basketball)","Point guard","KK TFT","North Macedonian Basketball Cup"
"Aleksandar Kostoski",1988-03-05,"Socialist Republic of Macedonia",,,2006-01-01,,"Macedonian First League (basketball)","Point guard","KK TFT","North Macedonian Basketball Cup"
"Alex Ciabattoni",1994-06-01,"South Australia",,,2010-01-01,,"Women's National Basketball League","Basketball positions","Perth Lynx","Heartland Conference, List of NBL1 West champions, State Basketball League All-Defensive Five, WNBL Youth Player of the Year Award"
"Axel Bouteille",1995-04-14,"France",2.0066,,,,"Basketball Champions League","Small forward","Baloncesto Málaga","All-Liga ACB Team"
"Alexander Ermolinskij",1959-11-11,"Soviet Union",2.0828,,,,"Russian Women's Basketball Premier League","Center (basketball)","Nadezhda Orenburg","Icelandic Men's Basketball Cup, Magyar Kupa (men's basketball)"
"Ettore Messina",1959-09-30,"Catania",,,,,"Lega Basket","Head coach","Olimpia Milano","NBA All-Star Game"
"Ettore Messina",1959-09-30,"Catania",,,,,"EuroLeague","Head coach","Olimpia Milano","Russian Professional Basketball Championship"
"Ettore Messina",1959-09-30,"Italy men's national basketball team",,,,,"Lega Basket","Head coach","Olimpia Milano","Russian Gold Basket Awards"
"Ettore Messina",1959-09-30,"Italy men's national basketball team",,,,,"EuroLeague","Head coach","Olimpia Milano","Gomelsky Cup, Russian Gold Basket Awards"
"Aleksander Sekulić",1978-02-24,"Socialist Federal Republic of Yugoslavia",,,,,"National Basketball League (Czech Republic)","Coach (basketball)","Basketball Nymburk","Slovenian Basketball Supercup"
"Aleš Pipan",1959-05-24,"Socialist Republic of Slovenia",,,,,"Premier A Slovenian Basketball League","Head coach","KK Šentjur","Macedonian First League (basketball), North Macedonian Basketball Cup"
"Ægir Steinarsson",1991-05-10,"Reykjavík",,84000.0,2008-01-01,,"Liga Española de Baloncesto","Point guard","Gipuzkoa Basket","Icelandic Men's Basketball Cup"
"Alexey Shved",1988-12-16,"Soviet Union",,86000.0,2006-01-01,,"EuroLeague","Shooting guard","PBC CSKA Moscow","All-EuroLeague Team, VTB United League MVP"
"Brandin Knight",1981-12-16,"Livingston, New Jersey",1.8288,81648.0,2003-01-01,2005-01-01,"Big Ten Conference","Coach (sport), Point guard","Rutgers Scarlet Knights","2003 NCAA Men's Basketball All-Americans, Associated Press, Big East Conference Men's Basketball Player of the Year, NCAA Men's Basketball All-Americans, Pittsburgh Panthers men's basketball"
"Henk Norel",1987-09-17,"Netherlands men's national basketball team",2.1082,104328.0,2005-01-01,2021-01-01,"Dutch Basketball League","Center (basketball), Power forward (basketball)","Heroes Den Bosch","All-Liga ACB Team, EuroCup Basketball, FIBA EuroChallenge, Liga EBA"
"Ainars Bagatskis",1967-03-29,"Latvian Soviet Socialist Republic",1.9812,87998.4,1985-01-01,2006-01-01,"Ukrainian Basketball SuperLeague","Coach (basketball), Small forward","Kyiv-Basket","BLNO, Baltic Basketball League, Israeli Basketball State Cup, LKL Three-point Shootout, Latvijas Basketbola līga, Lietuvos krepšinio lyga, Ukrainian Basketball SuperLeague"
"Eduardo Nájera",1976-07-11,"Chihuahua (state)",2.032,108864.0,2000-01-01,2012-01-01,"National Basketball Association","Power forward (basketball), Scout (sport), Small forward","Dallas Mavericks","Big 12 Conference, Chip Hilton Player of the Year Award, NCAA Men's Basketball All-Americans, National Association of Basketball Coaches"
"Dejan Milojević",1977-04-15,"Socialist Federal Republic of Yugoslavia",2.0066,115214.0,1994-01-01,2009-01-01,"National Basketball Association","Power forward (basketball)","Golden State Warriors","ABA League MVP, ABA League Top Scorer, Montenegrin Basketball Cup, Prva A Liga, Radivoj Korać Cup, YUBA League, Yugoslav Basketball Cup"
"Lazare Adingono",1978-01-11,"Yaoundé",,89000.0,2003-01-01,2004-01-01,"Basketball Africa League","Head coach","FAP Basketball","2018–19 Angolan Basketball League, Angolan Basketball League"
"Demond Greene",1979-06-15,"Texas",,95000.0,1997-01-01,2014-01-01,"Basketball Bundesliga","Coach (basketball), Shooting guard","FC Bayern Munich (basketball)","BBL All-Star Game, BBL-Pokal, Basketball Bundesliga, Basketball Bundesliga Most Improved Player, FC Bayern Munich (basketball)"
"Henrik Rödl",1969-03-04,"West Germany",2.0066,,1993-01-01,2004-01-01,"Basketbol Süper Ligi","Head coach, Small forward","Türk Telekom B.K.","Alba Berlin, BBL-Pokal, Basketball Bundesliga, Basketball Bundesliga Most Valuable Player, FIBA Korać Cup, North Carolina Mr. Basketball"
"Henrik Rödl",1969-03-04,"West Germany",2.0066,,1993-01-01,2004-01-01,"Basketbol Süper Ligi","Head coach, Shooting guard","Türk Telekom B.K.","Alba Berlin, BBL-Pokal, Basketball Bundesliga, Basketball Bundesliga Most Valuable Player, FIBA Korać Cup, North Carolina Mr. Basketball"
"Dejan Radonjić",1970-02-02,"Podgorica",,,1990-01-01,2004-01-01,"ABA League","Coach (basketball), Point guard","KK Crvena zvezda","2020–21 Radivoj Korać Cup, 2021–22 Radivoj Korać Cup, Magenta SportCup"
"Dejan Radonjić",1970-02-02,"Podgorica",,,1990-01-01,2004-01-01,"EuroLeague","Coach (basketball)","KK Crvena zvezda","2020–21 Radivoj Korać Cup, 2021–22 Radivoj Korać Cup"
